,edu,age,female,conspiracy,scandal,media_score,google,poltrust_score
180,2,36,0,1,0,44.375,50,58.3333333333333
181,2,23,0,1,0,48.75,60,60.8333333333333
182,2,58,1,0,0,35.0,40,61.6666666666667
183,2,26,0,0,1,55.0,60,46.6666666666667
184,1,25,1,0,1,49.375,60,46.6666666666667
185,1,19,1,1,0,43.75,50,65.8333333333333
186,2,40,0,0,1,56.25,75,48.6666666666667
187,0,72,1,0,1,14.375,5,49.1666666666667
188,2,31,1,0,0,67.5,80,70.0
189,0,39,1,0,1,43.75,65,33.3333333333333
190,2,58,0,1,0,62.5,90,52.5
191,1,33,0,1,0,60.625,70,65.8333333333333
192,1,48,1,0,0,58.125,85,63.3333333333333
193,0,60,1,0,0,50.0,100,73.3333333333333
194,2,44,1,0,1,48.0,50,73.3333333333333
195,0,36,0,1,0,15.0,20,3.33333333333333
196,1,41,1,1,1,60.0,90,43.3333333333333
197,2,49,1,1,1,21.875,15,45.0
198,3,38,1,0,1,37.5,20,35.6666666666667
199,2,30,1,0,1,40.0,15,31.1666666666667
200,1,30,1,1,1,13.75,25,1.16666666666667
201,2,34,0,1,0,53.75,50,39.8333333333333
202,0,37,1,0,0,11.875,0,61.6666666666667
203,0,25,1,0,1,44.375,45,38.1666666666667
204,2,35,1,0,1,62.5,100,35.0
205,2,56,0,1,1,44.375,50,46.6666666666667
206,3,27,1,1,1,28.125,40,12.1666666666667
207,0,23,1,0,0,37.5,80,63.3333333333333
208,2,52,1,1,1,16.875,20,22.5
209,2,30,1,1,1,63.75,70,60.8333333333333
210,1,24,0,0,1,46.875,70,30.0
211,1,60,0,1,0,40.0,30,41.6666666666667
212,1,51,0,0,1,63.125,80,63.3333333333333
213,2,43,1,1,1,33.75,40,32.6666666666667
214,2,23,0,0,0,40.0,80,60.0
215,0,49,0,0,0,34.375,50,50.8333333333333
216,3,45,0,0,0,46.625,15,53.3333333333333
217,0,56,1,0,0,51.25,50,50.0
218,0,50,0,1,0,41.25,50,28.3333333333333
219,2,65,1,1,0,50.625,100,48.3333333333333
220,3,32,0,0,1,10.0,10,15.0
221,3,36,0,1,1,60.0,50,51.6666666666667
222,1,19,0,0,0,49.375,45,78.5
223,2,31,1,0,0,50.0,50,33.3333333333333
224,2,25,1,0,1,17.5,0,0.0
225,2,32,1,0,1,45.625,50,33.3333333333333
226,2,24,0,0,0,25.625,0,45.0
227,3,61,1,0,1,42.5,35,66.6666666666667
228,2,37,0,0,1,50.375,40,34.5
229,2,26,1,0,0,48.75,30,56.1666666666667
230,1,45,0,1,0,55.0,70,74.1666666666667
231,2,55,1,1,1,18.75,10,58.3333333333333
232,2,42,0,0,1,17.5,0,33.6666666666667
233,2,42,1,1,1,85.0,100,67.8333333333333
234,2,23,1,0,0,35.625,45,44.1666666666667
235,1,69,1,0,0,28.75,20,40.0
236,2,30,1,0,1,78.125,85,80.0
237,3,27,1,0,0,70.0,100,41.6666666666667
238,3,39,1,1,0,50.0,50,34.3333333333333
239,3,28,0,1,0,34.375,50,35.0
240,2,55,1,0,0,40.0,50,60.8333333333333
241,2,55,1,1,0,28.75,15,25.0
242,2,30,1,1,0,47.5,50,59.1666666666667
243,1,34,1,1,1,70.0,100,83.3333333333333
244,2,51,1,1,0,48.125,85,55.8333333333333
245,1,32,1,0,0,38.125,50,58.3333333333333
246,2,22,0,1,0,48.75,50,36.6666666666667
247,2,50,0,1,1,2.5,0,8.33333333333333
248,1,27,0,0,0,1.25,0,0.0
249,1,41,0,0,1,36.25,30,30.0
250,3,28,1,0,1,40.0,60,51.6666666666667
251,1,32,1,0,0,33.75,4,46.8333333333333
252,2,58,1,0,0,66.25,80,54.0
253,2,48,0,0,0,55.75,50,65.6666666666667
254,0,35,0,0,1,23.75,30,21.6666666666667
255,3,48,0,0,1,58.5,100,82.3333333333333
256,2,34,1,0,0,27.5,50,45.0
257,1,43,1,0,1,70.625,80,81.6666666666667
258,1,26,0,1,0,37.5,30,31.6666666666667
259,1,27,1,0,1,13.75,10,20.8333333333333
260,1,25,1,1,0,37.5,30,35.0
261,3,27,0,1,0,41.25,50,46.6666666666667
262,1,48,1,0,1,15.625,0,32.8333333333333
263,2,26,1,1,1,44.375,35,21.1666666666667
264,2,27,0,1,0,42.5,40,45.0
265,1,26,0,1,0,17.5,30,41.6666666666667
266,2,55,0,0,0,32.25,40,38.3333333333333
267,3,37,0,1,0,15.0,10,31.6666666666667
