,phase,character,idusers,idnetwork,hint_cloth,hint_col,hat_guess,shirt_guess,pant_guess,shoe_guess,glove_guess,hat,shirt,pant,shoe,glove,score_hat,score_shirt,score_pant,score_shoe,score_glove,score,num_corrects,num_mistakes,grey,winner,grp_act_num,grp_num_corrects,grp_num_mistakes,pos
199,1.0,Jeffrey,348,2,cappello,giallo,3.0,3.0,7.0,6.0,2.0,3,3,7,6,2,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,25.0,0.0,b
201,1.0,Ben,378,2,cappello,nero,9.0,2.0,6.0,9.0,7.0,9,3,6,9,3,10.0,-5.0,10.0,10.0,-5.0,20.0,3.0,2.0,0.0,0.0,5.0,13.0,8.0,b
202,1.0,Darren,1759,2,felpa,giallo,10.0,3.0,1.0,6.0,10.0,4,3,1,6,8,0.0,10.0,10.0,10.0,0.0,30.0,3.0,0.0,2.0,0.0,5.0,14.0,2.0,b
210,1.0,Isaac,1301,2,felpa,arancione,10.0,2.0,10.0,10.0,10.0,7,2,2,6,9,0.0,10.0,0.0,0.0,0.0,10.0,1.0,0.0,4.0,0.0,5.0,11.0,10.0,b
213,1.0,Johnnie,2116,2,guanti,nero,10.0,10.0,10.0,10.0,9.0,9,6,6,3,9,0.0,0.0,0.0,0.0,10.0,10.0,1.0,0.0,4.0,0.0,5.0,14.0,0.0,b
215,1.0,Emiliano,1002,2,cappello,giallo,3.0,10.0,9.0,10.0,10.0,3,6,9,8,9,10.0,0.0,10.0,0.0,0.0,20.0,2.0,0.0,3.0,0.0,5.0,14.0,4.0,b
216,1.0,Clinton,918,2,cappello,arancione,2.0,1.0,8.0,4.0,1.0,2,1,8,4,1,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,21.0,0.0,b
219,1.0,Roger,907,2,cappello,violetto,7.0,3.0,5.0,1.0,9.0,7,3,5,1,9,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,25.0,0.0,b
235,1.0,Roger,904,2,guanti,nero,7.0,3.0,5.0,1.0,9.0,7,3,5,1,9,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,25.0,0.0,c
240,1.0,Clinton,174,2,scarpe,verde,10.0,1.0,10.0,4.0,1.0,2,1,8,4,1,0.0,10.0,0.0,10.0,10.0,30.0,3.0,0.0,2.0,0.0,5.0,21.0,0.0,c
